x	y	key	showSelected1	PANEL
3	-3.59167373200866	3	2	2
3	-7.9861228866811	3	2	2
15.4096948711615	-14.4404540104543	15.4096948711615	2	2
3	-9.35938824751623	3	2	2
15.4096948711615	-17.2341549716727	15.4096948711615	2	2
3	-11.2819597526854	3	2	2
15.4096948711615	-21.6453723968365	15.4096948711615	2	2
3	-9.26783722346056	3	2	2
15.4096948711615	-16.3811934683144	15.4096948711615	2	2
3	-3.59167373200866	3	3	2
3	-7.9861228866811	3	3	2
15.4096948711615	-14.4404540104543	15.4096948711615	3	2
3	-7.9861228866811	3	3	2
15.4096948711615	-14.4404540104543	15.4096948711615	3	2
3	-11.2819597526854	3	3	2
15.4096948711615	-21.6453723968365	15.4096948711615	3	2
3	-3.59167373200866	3	4	2
3	-7.9861228866811	3	4	2
15.4096948711615	-14.4404540104543	15.4096948711615	4	2
3	-9.35938824751623	3	4	2
15.4096948711615	-17.2341549716727	15.4096948711615	4	2
3	-3.59167373200866	3	5	2
3	-7.9861228866811	3	5	2
15.4096948711615	-14.4404540104543	15.4096948711615	5	2
9	-13.8736334846941	9	3	3
13.5	-17.2772009136671	13.5	3	3
14.2544342909879	-17.2823478828087	14.2544342909879	3	3
18	-17.2208454103275	18	3	3
14	-21.5834782604301	14	3	3
14.2544342909879	-21.6032635945441	14.2544342909879	3	3
18	-21.7381633598467	18	3	3
17.2147008316852	-16.1961600590801	17.2147008316852	3	3
18	-16.0785933858376	18	3	3
9	-13.8736334846941	9	4	3
13.5	-17.2772009136671	13.5	4	3
14.2544342909879	-17.2823478828087	14.2544342909879	4	3
18	-17.2208454103275	18	4	3
14	-21.5834782604301	14	4	3
14.2544342909879	-21.6032635945441	14.2544342909879	4	3
18	-21.7381633598467	18	4	3
9	-13.8736334846941	9	5	3
13.5	-17.2772009136671	13.5	5	3
14.2544342909879	-17.2823478828087	14.2544342909879	5	3
18	-17.2208454103275	18	5	3
9	-16.3948172785314	9	4	4
13.5	-17.2772009136671	13.5	4	4
9	-20.10475213217	9	4	4
13.5	-21.5325194727112	13.5	4	4
16.1316185690602	-21.7265128735237	16.1316185690602	4	4
13.7745054597874	-16.5482102931102	13.7745054597874	4	4
16.1316185690602	-16.3437513772143	16.1316185690602	4	4
9	-16.3948172785314	9	5	4
13.5	-17.2772009136671	13.5	5	4
9	-20.10475213217	9	5	4
13.5	-21.5325194727112	13.5	5	4
16.1316185690602	-21.7265128735237	16.1316185690602	5	4
15	-21.670043082316	15	5	5
